ofcNm,rutNm,fctKdCd,fctKdNm,fctCfCd,fctCfNm,fcno,fctNm,lctNm,ccwDt,dgnBgDt,dgnEdDt,dgcoNm,cwkBgDt,cwkEdDt,cstCmpNm,cwkNm,totCtco,xtsLen,xtsHg,xtsSpanCo,xtsMaxSpanLen,ftptBdt,rdwyBdt,alBdt,uplnCrtrCo,godnCrtrCo,crtrStoCo,prmsPssnLwgt,upstSpanCmpsVl,bdsfAbscNm,railngAbscNm,brdgBrktAbscNm,xpsjAbscNm,curbAbscNm,dpltAbscVl,mngdAbscVl,dgldVlCn,upstMspFrmCdCn,upstSbSpanFrmAbrNmCn,upstBrdgBrktFrmCdCn,upstXpsjFrmCdCn,lwstPierFrmCdCn,lwstPierBsCdCn,lwstBrpsFrmCdCn,tnnlXtsLen,tnnlHg,tmnsSlpeVl,algnRdcvVl,dtsbXn,ivrtInstXn,rprsFormCdCn,rprsMnCnmtCdCn,rprsAssCnmtCdCn,rprsDrnFrmCdCn,rprsPtnnFrmNmCn,albdt,bdsfabscnm,brdgbrktabscnm,ccwdt,crtrstoco,cstcmpnm,curbabscnm,cwkbgdt,cwkeddt,cwknm,dgconm,dgldvlcn,dgnbgdt,dgneddt,dpltabscvl,fctcfcd,fctcfnm,fctkdcd,fctkdnm,fctnm,ftptbdt,godncrtrco,index,lctnm,lwstbrpsfrmcdcn,lwstpierbscdcn,lwstpierfrmcdcn,mngdabscvl,ofcnm,prmspssnlwgt,railngabscnm,rdwybdt,rutnm,totctco,uplncrtrco,upstbrdgbrktfrmcdcn,upstmspfrmcdcn,upstsbspanfrmabrnmcn,upstspancmpsvl,upstxpsjfrmcdcn,xpsjabscnm,xtshg,xtslen,xtsmaxspanlen,xtsspanco,algnrdcvvl,dtsbxn,ivrtinstxn,rprsasscnmtcdcn,rprsdrnfrmcdcn,rprsformcdcn,rprsmncnmtcdcn,rprsptnnfrmnmcn,tmnsslpevl,tnnlhg,tnnlxtslen,drnfrmcdcn,totcrtrco
,,,,,,451EAE41679749aaA64F9CE0FDC6F0E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,아스팔트,강재,1997-12-01,2,준종합건설주식회사,콘크리트,1995-12-01,1997-12-01,,삼안건설기술공사,DB-24,,,RC,2,2종,1,교량,장관교,0,1,0.0,충청북도 진천군 진천읍 장관리,역T형,확대(전면)기초,라멘식,PC,보은국토관리사무소,0,콘크리트,11,일반국도34호선,"3,523,000",1,포트받침,PSCI형교,PSC상자형교,5@30=150,TransFlex조인트,고무재,9.5,150,30,5,,,,,,,,,,,,,
,,,,,,E673B64272201C52E034080020A9316A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,아스팔트,강재,1997-12-01,4,롯데건설,콘크리트,1995-11-01,1997-12-01,,유신코퍼레이션,DB-24,,,RC,3,3종,1,교량,신궁1육교,1,2,0.0,경기도 평택시 팽성읍 신궁리,반중력식,미상,기타,PC,수원국토관리사무소,43,콘크리트,18.5,일반국도38호선,0,2,미상,PSCI형교,프리플렉스형교,1@30.7=30.7,샌드위치조인트,고무재,7,30.7,30.7,1,,,,,,,,,,,,,
,,,,,,E673B64272221C52E034080020A9316A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,아스팔트,강재,1997-12-01,4,롯데건설,콘크리트,1995-11-01,1997-12-01,,유신코퍼레이션,DB-24,,,RC,3,3종,1,교량,평궁교,1,2,0.0,경기도 평택시 팽성읍 평궁리,반중력식,미상,기타,Steel,수원국토관리사무소,43,콘크리트,26,일반국도38호선,0,2,미상,PSCI형교,프리플렉스형교,1@30.5=30.5,샌드위치조인트,고무재,7,40,40,1,,,,,,,,,,,,,
,,,,,,E673B64272211C52E034080020A9316A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,아스팔트,강재,1997-12-01,6,롯데건설,콘크리트,1995-10-01,1997-12-01,,유신코퍼레이션,DB-24,,,RC,3,3종,1,교량,신궁2육교,1,2,0.0,경기도 평택시 팽성읍 신궁리,반중력식,미상,기타,,수원국토관리사무소,43,콘크리트,24.7,일반국도38호선,0,4,미상,강상자형교,프리플렉스형교,1@40=40,샌드위치조인트,고무재,7,40,40,1,,,,,,,,,,,,,
,,,,,,E673B6426FE01C52E034080020A9316A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,아스팔트,강재,1997-12-01,2,(주)우미건설,콘크리트,1995-07-01,1997-12-01,,(주)새길엔지니어링,DB-24,,,RC,2,2종,1,교량,개벼리교,0,1,0.0,경상남도 합천군 율곡면 문림리,반중력식,확대(전면)기초,T형교각,PC,진주국토관리사무소,40,강재,11,일반국도24호선,0,1,포트받침,PSCI형교,,13@30=390,모노셀조인트,강재,10,390,30,13,,,,,,,,,,,,,
,,,,,,E673B64270001C52E034080020A9316A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,아스팔트,강재,1997-12-01,4,(주)두진공영,콘크리트,1995-05-19,1997-12-01,고현우회도로축조공사,경기기술단,DB-24,,,RC,1,1종,1,교량,중앙육교,0.9,2,0.0,경상남도 남해군 고현면 대사리,역T형,강재말뚝기초,라멘식,Steel,진주국토관리사무소,40,콘크리트,18.6,일반국도19호선,0,2,포트받침,강상자형교,,2@50=100,강핑거조인트,강재,4.5,100,50,2,,,,,,,,,,,,,
,,,,,,EFE3B42F10F40191E0340003BA2D2647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,아스팔트,,1997-12-01,6,보성건설(주),콘크리트,1995-04-01,1997-12-01,,임광토건(주),DB-24,,,,3,3종,1,교량,함평IC교,0.8,3,0.0,전라남도 함평군 함평읍 기각리,기타,,기타,,광주국토관리사무소,43,콘크리트,25,일반국도23호선,"588,000",3,,라멘교,,2@13.8=27.5,,,6.1,27.5,13.8,2,,,,,,,,,,,,,
,,,,,,EFE3B42F11DE0191E0340003BA2D2647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,아스팔트,강재,1997-12-01,2,영풍산업(주),콘크리트,1994-12-01,1997-12-01,전주-소양 도로건설공사,(주)유성엔지니어링,DB-24,,,RC,2,2종,1,교량,황운교(하),0.5,2,0.0,전라북도 완주군 소양면 신교리,역T형,확대(전면)기초,T형교각,PC,전주국토관리사무소,43,콘크리트,9.2,일반국도26호선,"3,396,000",0,포트받침,PSCI형교,,8 @ 30.2 = 240.1,TransFlex조인트,고무재,10.4,240.1,30,8,,,,,,,,,,,,,
,,,,,,EFE3B42F11D10191E0340003BA2D2647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,아스팔트,강재,1997-12-01,2,영풍산업(주),콘크리트,1994-12-01,1997-12-01,전주-소양 도로건설공사,(주)우성엔지니어링,DB-24,,,RC,2,2종,1,교량,황운1교(하),0.5,2,0.0,전라북도 완주군 소양면 황운리,역T형,확대(전면)기초,T형교각,PC,전주국토관리사무소,43,콘크리트,9.2,일반국도26호선,0,0,포트받침,PSCI형교,,10 @ 30.3 = 300.2,TransFlex조인트,고무재,7.2,300.2,30.3,10,,,,,,,,,,,,,
,,,,,,E673B6426FDF1C52E034080020A9316A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,아스팔트,강재,1997-12-01,4,(주)두진공영,콘크리트,1994-09-12,1997-12-01,,유니시스템코리아,DB-24,,,강상판,3,3종,1,교량,고현교,1,2,0.0,경상남도 남해군 고현면 대사리,역T형,우물통기초,중력식,RC,진주국토관리사무소,40,콘크리트,18.5,일반국도19호선,0,2,포트받침,RC슬래브교,,10+10.1+10=30.1,ACE조인트,강재,4,30.1,10.1,3,,,,,,,,,,,,,
