rn,odofbrn,sptno,cno,cwknm,orcd,ornm,rutcd,rutnm,pdznnm,bzkdcd,bzkdnm,bztocd,stwrdt,ccwdt,ccwxpcdt,ccwyn,ccwynnm,bzarcd,bzarnm,cwksctnnm
300,6048300784,C2010042,C2010124,"낙동강살리기 11공구(양산6,김해7지구)사업",B,부산청,B1,낙동강,경상남도 김해시,B1,낙동강,01,2010-04-26,2012-03-25,20120325,1,완료공사,102,하천,경남 김해시 생림면 도요리~경남 김해시 상동면 여차리
301,6048300784,C2010037,C2010125,"낙동강살리기 12공구 (밀양1,김해8지구) 사업",B,부산청,B1,낙동강,경상남도 밀양시,B1,낙동강,01,2010-04-26,2012-05-01,20120501,1,완료공사,102,하천,좌안)경남밀양시 삼랑진읍 삼랑리/우안)경남김해시 생림면 안양리~좌안)경남밀양시 삼랑진읍 검세리/우안)경남김해시 생림면 도요리
302,6048300784,C2010006,C2010006,낙동강살리기 25공구(칠곡2.구미1지구)사업,B,부산청,B1,낙동강,경상북도 칠곡군,B1,낙동강,01,2010-02-10,2013-10-31,20131031,1,완료공사,102,하천,경북칠곡군 일원~경북 구미시 일원
303,6048300784,C2011007,C2010127,낙동강살리기 2단계(6공구)사업,B,부산청,Z1,기타,경상남도 양산시,B1,낙동강,01,2010-04-22,2012-12-31,20121231,1,완료공사,102,하천,경남 양산시 동면 가산리~경남 양산시 물금읍 물금리
304,6048300784,C2010046,C2010126,낙동강살리기 2단계(7공구)사업,B,부산청,B1,낙동강,경상남도 김해시,B1,낙동강,01,2010-04-22,2013-12-31,20131231,1,완료공사,102,하천,김해시 대동면 덕산리~김해시 상동면 매리
305,6048300784,C2010002,C2010003,낙동강살리기 31공구(구미7지구)사업,B,부산청,B1,낙동강,경상북도 구미시,B1,낙동강,01,2010-02-10,2012-06-30,20120630,1,완료공사,102,하천,구미시 도개면 가산리~구미시 도개면 신림리
306,6048300784,C2011021,C2011014,"낙동강살리기 47공구(남강 의령, 함안지구)사업",B,부산청,B1,낙동강,경상남도 의령군,B1,낙동강,01,2010-12-27,2013-02-03,20130203,1,완료공사,102,하천,진주시 집현면 덕오리~함안군 대산면 장암리
307,6048300784,C2010043,C2010141,낙동강살리기 48공구(황강 합천지구)사업,B,부산청,B1,낙동강,경상남도 합천군,Z1,기타,01,2010-03-04,2012-12-31,20121231,1,완료공사,102,하천,합천읍 합천리~합천읍 금양리
308,6048300784,C2009114,C2009126,낙동강살리기 5공구(부산북구2.김해1지구)사업,B,부산청,B1,낙동강,경상남도 김해시,B1,낙동강,01,2009-11-20,2012-01-08,20120108,1,완료공사,102,하천,부산시강서구 대저동~경남 김해시 대동면
309,6048300784,C2011001,C2010128,낙동강살리기 9공구(양산4.김해5지구)사업,B,부산청,Z1,기타,경상남도 김해시,B1,낙동강,01,2010-04-20,2012-06-30,20120630,1,완료공사,102,하천,상동면 감노리~상동면 감노리
310,6048300784,C2009032,C2009044,낙동강살리기 생곡제 하천개수공사,B,부산청,B1,낙동강,경상북도 구미시,B1,낙동강,01,2009-02-26,2011-12-30,20111230,1,완료공사,102,하천,선산읍 생곡리~선산읍 생곡리
311,6048300784,C2010036,C2010134,"낙동강살리기14공구(밀양3,김해10지구)사업",B,부산청,B1,낙동강,경상남도 김해시,B1,낙동강,01,2009-12-03,2012-11-30,20120630,1,완료공사,102,하천,밀양시 상남면~김해시 생림면
312,6048300784,C2010039,C2010122,낙동강살리기15공구(밀양4.김해11지구)사업,B,부산청,B1,낙동강,경상남도 밀양시,B1,낙동강,미등록,2009-12-21,2012-10-31,20121031,1,완료공사,102,하천,"밀양시 상남면 외산리, 김해시 한림면 시산리~밀양시 하남읍 백산리, 창원시 대산면 유등리"
313,6048300784,C2009082,C2009095,낙동강살리기사업 24공구(성주.칠곡지구),B,부산청,B1,낙동강,경상북도 칠곡군,B1,낙동강,미등록,2009-10-27,2012-06-12,20120612,1,완료공사,102,하천,경북 성주군 선남면 선원리~경북 칠곡군 약목면 덕산리
314,6048300784,C2009087,C2009099,낙동강살리기사업 30공구(구미지구),B,부산청,B1,낙동강,경상북도 구미시,B1,낙동강,미등록,2009-10-27,2012-06-30,20120630,1,완료공사,102,하천,해평면 월곡리~선산읍 원리
315,6048300784,C2009086,C2009100,낙동강살리기사업 32공구(구미.상주.의성지구),B,부산청,B1,낙동강,경상북도 상주시,B1,낙동강,미등록,2009-10-27,2012-10-30,20121030,1,완료공사,102,하천,상주시 낙동면 낙동리~구미시 옥성면 농소리
316,6048300784,C2009089,C2009103,낙동강살리기사업 33공구(상주지구),B,부산청,B1,낙동강,경상북도 상주시,B1,낙동강,미등록,2009-10-27,2012-06-30,20120630,1,완료공사,102,하천,(좌)상주시 중동면 오상리~(좌)의성군 단밀면 생송리
317,6048300784,C2003015,C2003015,낙동강수계 개포지구 하천개수공사,B,부산청,B1,낙동강,경상북도 예천군,B1,낙동강,01,2003-12-30,2010-12-31,20101231,1,완료공사,102,하천,~
318,6048300784,C2009038,C2009050,낙동강수계 반변1지구 하천개수공사,B,부산청,B1,낙동강,경상북도 의성군,B1,낙동강,01,2009-04-03,2014-07-03,20140902,1,완료공사,102,하천,중율리~덕봉리
319,6048300784,C2009101,C2009114,낙동강수계 반성1지구 하천개수공사,B,부산청,B1,낙동강,경상남도 진주시,B1,낙동강,03,2009-09-30,2015-02-02,20150202,1,완료공사,102,하천,경상남도 진주시 이반성면 가산리~경상남도 진주시 일반성면 답천&#8228;운천리
320,6048300784,C2009112,C2009124,낙동강수계 반성2지구 하천개수공사,B,부산청,B1,낙동강,경상남도 진주시,B1,낙동강,03,2009-09-17,2014-12-31,20141231,1,완료공사,102,하천,경남 진주시 사봉면 마성리~경남 진주시 일반성면 운천리
321,6048300784,C2003020,C2003020,낙동강수계 봉정지구 하천개수공사,B,부산청,B1,낙동강,경상북도 의성군,B1,낙동강,03,2003-12-30,2010-12-31,20101231,1,완료공사,102,하천,봉정제(다인면 봉정리)~신평제(안사면 쌍호리)
322,6048300784,C2003027,C2003027,낙동강수계 신령지구 하천개수공사,B,부산청,B1,낙동강,경상북도 영천시,B1,낙동강,03,2003-12-01,2010-10-20,20101020,1,완료공사,102,하천,경북 영천시 화산면 당곡리~경북 영천시 서산동
323,6048300784,C2003028,C2003028,낙동강수계 어서지구 하천개수공사,B,부산청,B1,낙동강,경상남도 산청군,B1,낙동강,01,2003-05-07,2007-12-31,20071231,1,완료공사,102,하천,~
324,6048300784,C2003029,C2003029,낙동강수계 유림지구 하천개수공사,B,부산청,B1,낙동강,경상남도 함양군,B1,낙동강,01,2003-12-01,2005-12-11,20051211,1,완료공사,102,하천,~
325,6048300784,C2003034,C2003034,낙동강수계 지보지구 하천개수공사,B,부산청,Z1,기타,경상북도 예천군,Z1,기타,01,2003-12-29,2010-12-22,20101207,1,완료공사,102,하천,상수월제~달지제
326,6048300784,C2005075,C2005079,낙동강수계 초포지구 하천개수공사,B,부산청,B1,낙동강,경상남도 산청군,B1,낙동강,01,2005-12-22,2007-12-21,20071221,1,완료공사,102,하천,~
327,6048300784,C2003010,C2003010,낙동강수계 치수사업 가산지구 하천개수공사,B,부산청,B1,낙동강,경상북도 의성군,B1,낙동강,01,2003-12-30,2006-12-14,20061214,1,완료공사,102,하천,~
328,6048300784,C2003014,C2003014,낙동강수계 치수사업 개진제 하천개수공사,B,부산청,B1,낙동강,경상북도 고령군,B1,낙동강,01,2003-12-30,2007-11-18,20071209,1,완료공사,102,하천,경북고령군 개진면 인안리~경북 고령군 개진면 옥산리
329,6048300784,C2003017,C2003017,낙동강수계 치수사업 대창지구 하천개수공사,B,부산청,B1,낙동강,경상북도 영천시,B1,낙동강,03,2003-05-12,2006-04-25,20060425,1,완료공사,102,하천,대창면 대재리~금호읍 남성리
330,6048300784,C2004005,C2004005,낙동강수계 치수사업 매협제 하천개수공사,B,부산청,B1,낙동강,경상북도 상주시,B1,낙동강,03,2004-05-24,2008-12-31,20081231,1,완료공사,102,하천,상주 사벌 매호2~상주 사벌 묵하
331,6048300784,C2004085,C2004085,낙동강수계 치수사업 명성지구 하천개수공사,B,부산청,B1,낙동강,,B1,낙동강,01,2004-07-07,2006-11-29,20061129,1,완료공사,102,하천,~
332,6048300784,C2003033,C2003033,낙동강수계 치수사업 삼랑지구 하천개수공사,B,부산청,B1,낙동강,경상남도 밀양시,B1,낙동강,03,2003-12-31,2010-07-09,20091216,1,완료공사,102,하천,밀양시 부북면 춘화리~밀양시 부북면 운전리
333,6048300784,C2001007,C2001007,낙동강수계 치수사업 삼학제 하천개수공사,B,부산청,B1,낙동강,,B1,낙동강,01,2001-05-14,2004-12-27,20041227,1,완료공사,102,하천,~
334,6048300784,C2003021,C2003021,낙동강수계 치수사업 상일제 하천개수공사,B,부산청,B1,낙동강,경상남도 의령군,B1,낙동강,03,2003-12-15,2005-12-30,20051230,1,완료공사,102,하천,~
335,6048300784,C2004006,C2004006,낙동강수계 치수사업 상줄제 하천개수공사,B,부산청,B1,낙동강,경상북도 영주시,B1,낙동강,03,2004-05-27,2006-12-31,20061231,1,완료공사,102,하천,안정면 안심리~안정면 상줄리
336,6048300784,C2004087,C2004087,낙동강수계 치수사업 서원1제 하천개수공사,B,부산청,B1,낙동강,경상북도 청도군,B1,낙동강,01,2004-12-03,2005-11-30,20051130,1,완료공사,102,하천,~
337,6048300784,C2003032,C2003032,낙동강수계 치수사업 이북지구 하천개수공사,B,부산청,B1,낙동강,경상남도 김해시,B1,낙동강,03,2003-12-31,2005-12-30,20051230,1,완료공사,102,하천,한림면 가동~한림면 시산리
338,6048300784,C2003035,C2003035,낙동강수계 치수사업 청통지구 하천개수공사,B,부산청,B1,낙동강,경상북도 경산시,B1,낙동강,03,2003-05-15,2007-12-24,20071231,1,완료공사,102,하천,~
339,6048300784,C2004096,C2004096,낙동강수계 치수사업 초전제 하천개수공사,B,부산청,B1,낙동강,경상남도 진주시,B1,낙동강,01,2004-06-24,2006-06-14,20060614,1,완료공사,102,하천,~
340,6048300784,C2003038,C2003038,낙동강수계 호명지구 하천개수공사,B,부산청,B1,낙동강,경상북도 예천군,B1,낙동강,01,2003-12-30,2009-12-22,20091224,1,완료공사,102,하천,예천 호명면 월포리~예천호명면 본포리
341,6048300784,C2003016,C2003016,낙동강수계치수사업 고촌지구 하천개수공사,B,부산청,B1,낙동강,경상북도 영천시,B1,낙동강,03,2003-05-12,2006-05-11,20060511,1,완료공사,102,하천,경북 영천시 고경면 창하리~영천시 금호읍 봉죽리
342,6048300784,C2003018,C2003018,낙동강수계치수사업 문경지구 하천개수공사,B,부산청,B1,낙동강,경상북도 문경시,B1,낙동강,03,2003-05-12,2006-05-11,20060511,1,완료공사,102,하천,~
343,6048300784,C2004007,C2004007,낙동강수계치수사업 석관지구 하천개수공사,B,부산청,B1,낙동강,경상북도 예천군,B1,낙동강,03,2004-06-14,2008-12-31,20081231,1,완료공사,102,하천,영주시봉현면하촌리~예천군감천면덕율리
344,6048300784,C2004089,C2004089,낙동강수계치수사업 쌍계지구하천개수공사,B,부산청,B1,낙동강,,B1,낙동강,03,2004-06-10,2006-12-21,20061221,1,완료공사,102,하천,~
345,6048300784,C2004090,C2004090,낙동강수계치수사업 예동지구하천개수공사,B,부산청,B1,낙동강,경상북도 김천시,B1,낙동강,03,2004-05-27,2006-05-26,20060526,1,완료공사,102,하천,~
346,6048300784,C2003036,C2003036,낙동강수계치수사업고모2제하천개수공사,B,부산청,B1,낙동강,,B1,낙동강,03,2003-11-10,2004-12-22,20041222,1,완료공사,102,하천,~
347,6048300784,C2004097,C2004097,낙동강해평지구하천개수공사,B,부산청,B1,낙동강,경상북도 구미시,B1,낙동강,01,2004-12-28,2012-06-30,20111121,1,완료공사,102,하천,경북 구미시 해평면 해평리~경북 구미시 양호동
348,6048300784,C2005096,D2005108,남강 금곡지구 하천개수공사,B,부산청,Z1,기타,경상남도 진주시,B1,낙동강,01,2005-12-28,2012-07-12,20120723,1,완료공사,102,하천,경상남도 진주시 대곡면~경상남도 진주시 대곡면
349,6048300784,C2005074,C2005078,남강 남성지구 하천개수공사,B,부산청,B1,낙동강,경상남도 진주시,B1,낙동강,01,2005-06-24,2010-07-25,20100725,1,완료공사,102,하천,경남 진주시 상평동~경남 진주시 상평동
350,6048300784,C2019008,C2019012,남강 대산지구 하천환경정비사업,B,부산청,,,경상남도 의령군,B1,낙동강,01,2019-03-04,2022-06-15,20220615,0,진행공사,102,하천,경상남도 의령군 화정면 화양리 1226~경상남도 의령군 용덕면 소상리 60-3
351,6048300784,C2019007,C2019013,남강 방목지구 하천환경정비사업,B,부산청,B1,낙동강,경상남도 산청군,B1,낙동강,01,2019-03-07,2023-02-13,20230213,0,진행공사,102,하천,경상남도 산청군 산청읍 범학리 1392-31~경상남도 산청군 신안면 하정리 930-2
352,6048300784,C2004166,C2004177,남강 백곡지구 하천개수공사,B,부산청,B1,낙동강,경상남도 의령군,B1,낙동강,01,2004-12-23,2011-09-15,20110915,1,완료공사,102,하천,의령군 화정면 상정리~의령군 지정면 성당리
353,6048300784,C2015036,C2015060,남강 산청지구 하천환경정비사업,B,부산청,B1,낙동강,경상남도 산청군,B1,낙동강,01,2015-10-12,2020-12-17,20190920,1,완료공사,102,하천,산청군 산청읍 내리~산청군 오부면 양촌리
354,6048300784,C2016020,C2016021,남강 생초지구 하천환경정비사업,B,부산청,B1,낙동강,경상남도 산청군,B1,낙동강,01,2016-08-16,2020-12-02,20200725,1,완료공사,102,하천,산청군오부면양촌리~함양군수동면화산리
355,6048300784,C2018011,C2018012,남강 서촌지구 하천환경정비사업,B,부산청,B1,낙동강,경상남도 함안군,B1,낙동강,01,2018-03-28,2022-03-06,20220306,1,완료공사,102,하천,경상남도 함안군 대산면 옥렬리 1057~경상남도 함안군 법수면 황사리 118
356,6048300784,C2004164,C2004175,남강 악양지구 하천개수공사,B,부산청,B1,낙동강,경상남도 함안군,B1,낙동강,01,2004-12-22,2010-01-09,20100109,1,완료공사,102,하천,~
357,6048300784,C2016007,C2016008,남강 와룡지구 하천환경정비사업,B,부산청,B1,낙동강,경상남도 진주시,B1,낙동강,01,2016-02-22,2019-10-29,20190205,1,완료공사,102,하천,진주시 금산면 중천리 일원~진주시 진성면 가진리 일원
358,6048300784,C2014013,C2014017,남강 장포지구 하천개수공사,B,부산청,B1,낙동강,경상남도 함안군,B1,낙동강,01,2014-02-03,2017-01-17,20170117,1,완료공사,102,하천,~
359,6048300784,C2004165,C2004176,남강 적곡지구 하천개수공사,B,부산청,B1,낙동강,경상남도 의령군,B1,낙동강,01,2004-12-22,2012-10-15,20121015,1,완료공사,102,하천,적곡제~구혜제
360,6048300784,C2014019,C2014018,남강 정곡제 보강공사,B,부산청,B1,낙동강,경상남도 사천시,B1,낙동강,01,2014-01-28,2014-12-23,20141223,1,완료공사,102,하천,곤명면 정곡리~곤명면 신흥리
361,6048300784,C2007077,C2007086,남강 진주 월아지구 하천개수공사,B,부산청,B1,낙동강,경상남도 진주시,B1,낙동강,01,2007-02-14,2012-03-31,20120331,1,완료공사,102,하천,NO.118(남강)~NO.113(남강)
362,6048300784,C2012006,C2012002,남강 진주지구 하천환경정비사업,B,부산청,B1,낙동강,경상남도 진주시,B1,낙동강,01,2012-01-13,2014-06-30,20140630,1,완료공사,102,하천, 진주시 금산면 송백리~진주시 금산면 중천리
363,6048300784,C2016025,C2016020,남강 하기지구 하천환경정비사업,B,부산청,B1,낙동강,경상남도 함안군,B1,낙동강,01,2016-08-17,2020-07-26,20200726,1,완료공사,102,하천,경남 함안군 대산면 하기리~경남 함안군 대산면 구혜리
364,6048300784,C2007056,C2007059,남강 함안 군북지구 하천개수공사,B,부산청,B1,낙동강,경상남도 함안군,B1,낙동강,01,2007-02-14,2012-05-16,20120430,1,완료공사,102,하천,경남 함안군 군북면 월촌리~경남 함안군 군북면 월촌리
365,6048300784,C2004098,C2004098,남강 화산지구 하천개수공사,B,부산청,B1,낙동강,경상남도 진주시,Z1,기타,01,2004-12-22,2010-01-22,20100122,1,완료공사,102,하천,~
366,6048300784,C2002004,C2002004,남면-약목 국도 확장공사,B,부산청,004,국도 4호선(군산 ~ 경주),경상북도 김천시,B,지역간선,08,2002-11-04,2007-11-12,20071112,1,완료공사,101,도로,경북김천시남면송곡리~경북칠곡군약목면복성리
367,1108300348,C1998011,C1998011,남양주시 관내 국도대체 우회도로(사능-호평)건설공사,S,서울청,046,국도 46호선(인천 ~ 고성),경기도 남양주시,D,국도대체우회도로,00,1998-03-03,2007-06-30,20070630,1,완료공사,101,도로,경기도 남양주시 진건읍 사능리~경기도 남양주시 호평동
368,4038301161,C2005052,C2005057,남원-곡성(오산-겸면 포함) 도로건설공사,I,익산청,017,국도 17호선(여천 ~ 용인),전라북도 남원시,A,일반국도,00,2005-12-26,2014-12-26,20141226,1,완료공사,101,도로,전북 남원 주생 중동~전남 곡성 장선
369,4038301161,C1999009,C1999009,남원시관내 국도대체 우회도로(주생-광치)건설공사,I,익산청,017,국도 17호선(여천 ~ 용인),전라북도 남원시,D,국도대체우회도로,00,1999-05-12,2008-03-28,20080328,1,완료공사,101,도로,전북 남원시 조산동~전북 남원시 광치동
370,3068301763,C2002034,C2002034,남원천 남원제 개수공사,D,대전청,C1,금강,충청남도 당진군,Z1,기타,03,2002-04-23,2006-04-22,20060422,1,완료공사,102,하천,~
371,3068301763,C2016028,C2016027,남일~보은(제2공구) 도로건설공사,D,대전청,025,국도 25호선(진해 ~ 청주),충청북도 보은군,A,일반국도,01,2016-08-16,2023-07-10,20230710,0,진행공사,101,도로,보은군 수한면 후평리~보은군 회인면 눌곡리
372,3068301763,C2021010,C2021011,남일고은~청주상당 도로건설공사,D,대전청,025,국도 25호선(진해 ~ 청주),충청북도 청주시 상당구,A,일반국도,01,2021-02-17,2027-01-16,20210417,0,진행공사,101,도로,충청북도 청주시 상당구 남일면 고은리 654~청주시 상당구 남일면 효천리 180-1
373,6048300784,C1999001,C1999001,남지-영산간 국도4차로 확장공사,B,부산청,005,국도 5호선(마산 ~ 중강진(김화)),경상남도 창녕군,B,지역간선,07,1999-05-17,2005-12-31,20051231,1,완료공사,101,도로,경남 함안군 칠서면 이룡리~경남 창녕군 영산면 죽사리
374,4038301161,C2003066,C2003066,남창-삼산간 도로확장공사,I,익산청,013,국도 13호선(완도 ~ 금산),전라남도 해남군,A,일반국도,01,2003-08-30,2012-12-27,20121227,1,완료공사,101,도로,전남 해남군 북평면 남창리~전남 해남군 현산면 고현리
375,6048300784,C2004004,C2004004,남천-청도1(곰티재) 국도건설공사,B,부산청,020,국도 20호선(산청 ~ 포항),경상북도 경산시,A,일반국도,01,2004-02-20,2013-08-31,20130831,1,완료공사,101,도로,경북 청도군 화양읍 다로리~경북 경산시 남천면 흥산리
376,6048300784,C2004071,C2004071,남천-청도2 국도건설공사,B,부산청,025,국도 25호선(진해 ~ 청주),경상북도 청도군,A,일반국도,01,2004-11-16,2012-12-31,20121231,1,완료공사,101,도로,경상북도 청도군 청도읍 원정리~경상북도 청도군 화양읍 다로리
377,4038301161,C2001017,C2001017,남평우회도로축조 및 포장공사,I,익산청,001,국도 1호선(목포 ~ 신의주(판문점)),전라남도 나주시,A,일반국도,00,2001-07-02,2012-12-31,20121231,1,완료공사,101,도로,전남나주시 산포면 매성리~광주광역시 남구 양과동
378,3068301763,C2003043,C2003043,내북-운암 도로건설공사,D,대전청,019,국도 19호선(남해 ~ 원주),충청북도 보은군,A,일반국도,01,2003-09-30,2011-03-15,20110403,1,완료공사,101,도로,충북 보은 산외 이식~충북 청원 미원 운암
379,6048300784,C1997008,C1997008,내서-중리 도로4차선 축조공사,B,부산청,005,국도 5호선(마산 ~ 중강진(김화)),경상남도 마산시,B,지역간선,08,1997-02-14,2006-12-31,20061231,1,완료공사,101,도로,마산시 내서읍 감천리~마산시 내서읍 호계리
380,6048300784,C2009057,C2009062,내서-칠원 국도건설공사,B,부산청,005,국도 5호선(마산 ~ 중강진(김화)),경상남도 함안군,A,일반국도,00,2009-04-23,2019-01-11,20181211,1,완료공사,101,도로,경남 창원시 마산회원구 내서읍 호계리~경남 함안군 칠원읍 구성리
381,6048300784,C2014026,C2014030,내성천 용궁지구 하천환경정비사업,B,부산청,B1,낙동강,경상북도 예천군,Z1,기타,미등록,2014-03-26,2019-09-16,20190916,1,완료공사,102,하천,낙동강 합류점~경상북도 예천군 용궁면 대은리 일원
382,6048300784,C2017001,C2017003,내성천 지보지구 하천환경정비사업,B,부산청,Z1,기타,경상북도 예천군,Z1,기타,미등록,2016-12-28,2019-11-26,20191212,1,완료공사,102,하천,경북 예천군 호명면 원곡리~경북 예천군 지보면 마산리
383,6048300784,C2014012,C2014008,내성천 호명지구 하천환경정비사업,B,부산청,Z1,기타,경상북도 예천군,Z1,기타,01,2014-02-21,2018-01-30,20180130,1,완료공사,102,하천,경북예천군호명면원곡리~경북예천군호명면직산리
384,1108300348,C2004047,C2004047,노곡리 배수펌프장 설치공사,S,서울청,R1,임진강,경기도 연천군,R1,임진강,01,2004-11-26,2007-11-10,20071110,1,완료공사,102,하천,~
385,1108300348,C2005055,C2005059,노곡석장제외 2개소개수공사,S,서울청,R1,임진강,경기도 파주시,R1,임진강,01,2005-09-21,2009-12-31,20091231,1,완료공사,102,하천,~
386,6048300784,C2003009,C2003009,노귀재터널 국도건설공사,B,부산청,035,국도 35호선(부산 ~ 강릉),경상북도 영천시,A,일반국도,01,2003-10-20,2011-12-31,20111231,1,완료공사,101,도로,경북 영천시 화북면 상송리~경북 청송군 현서면 사촌리
387,3068301763,C2020015,C2019039,노성천 광석지구 하천정비사업,D,대전청,,,충청남도 논산시,Z1,기타,미등록,2020-06-16,2023-05-31,20230531,0,진행공사,102,하천,충청남도 논산시 광석면 항월리 58-8~충청남도 논산시 장마루로 10
388,3068301763,C2015010,C2014042,노성천 노성지구 등 3개소 하천환경정비사업,D,대전청,Z1,기타,충청남도 논산시,Z1,기타,미등록,2015-02-04,2018-12-27,20190113,1,완료공사,102,하천,노성천~강경천
389,4038301161,C2001019,C2001019,녹동-도덕간 도로건설공사,I,익산청,027,국도 27호선(고흥 ~ 군산),전라남도 고흥군,B,지역간선,08,2001-07-03,2007-10-10,20060710,1,완료공사,101,도로,고흥군 도양읍 봉암리~고흥군 풍양면 고옥리
390,3068301763,C2004070,C2004070,논산1지구(논산ㆍ채운제)하천환경정비사업,D,대전청,C1,금강,충청남도 논산시,Z1,기타,03,2004-11-17,2012-01-22,20120122,1,완료공사,102,하천,논산시 부창동 567번지~채운면 장화리 479-3번지
391,3068301763,C2004148,C2004149,논산2지구(성동제) 하천환경 정비사업,D,대전청,C1,금강,충청남도 논산시,C1,금강,03,2004-11-17,2012-07-13,20121217,1,완료공사,102,하천,"논산시 성동면 원봉리,삼호리~논산시 성동면 개척리"
392,3068301763,C2004150,C2004151,논산지구(노성천) 하천환경 정비사업,D,대전청,C1,금강,충청남도 논산시,C1,금강,03,2004-12-14,2012-12-17,20130104,1,완료공사,102,하천,논산시 부적면 656~논산시 산동리 8
393,3068301763,C2019010,C2019003,논산천 부적지구 하천정비사업,D,대전청,Z1,기타,충청남도 논산시,Z1,기타,미등록,2019-04-04,2022-03-18,20220318,1,완료공사,102,하천,충남 논산시 부적면 왕덕리 59~충남 논산시 연무읍 신화리1810
394,3068301763,C2019009,C2019002,논산천 부창지구 하천정비사업,D,대전청,Z1,기타,충청남도 논산시,Z1,기타,미등록,2019-04-12,2022-03-26,20220326,0,진행공사,102,하천,충청남도 논산시 대교동 319-8~충청남도 논산시 부창동 567
395,3068301763,C2012062,C2012068,논산천 탑정지구 하천환경정비사업,D,대전청,Z1,기타,충청남도 논산시,Z1,기타,미등록,2012-09-07,2017-11-27,20171127,1,완료공사,102,하천,부적면 탑정리~덕지동 합촌교
396,1108300348,C2004048,C2004048,누산제 개수공사,S,서울청,A1,한강,경기도 김포시,A1,한강,01,2004-10-01,2011-12-17,20111217,1,완료공사,102,하천,경기도김포시운양동~경기도김포시양촌면누산리
397,6048300784,C2011024,C2011024,다인-비안1 국도건설공사,B,부산청,028,국도 28호선(영주 ~ 포항),경상북도 의성군,A,일반국도,01,2011-10-12,2018-12-31,20181231,1,완료공사,101,도로,경북 의성군 다인면 덕미리~경북 의성군 단북면 연제리
398,6048300784,C2009102,C2009116,다인-비안2 국도건설공사,B,부산청,028,국도 28호선(영주 ~ 포항),경상북도 의성군,A,일반국도,00,2009-11-10,2016-12-31,20161231,1,완료공사,101,도로,경북 의성군 단북면 연제리~경북 의성군 비안면 이두리
399,2248301909,C2003117,C2003117,단강제 축제공사,W,원주청,Z1,기타,강원도 원주시,Z1,기타,03,2003-06-18,2006-03-28,20060328,1,완료공사,102,하천,~
400,6048300784,C2019025,C2019032,단성-시천 국도건설공사,B,부산청,020,국도 20호선(산청 ~ 포항),경상남도 산청군,A,일반국도,01,2019-11-04,2024-11-01,20241101,0,진행공사,101,도로,~
401,3068301763,C2004010,C2004010,단양-가곡 도로건설공사,D,대전청,059,국도 59호선(광양 ~ 하동),충청북도 단양군,A,일반국도,00,2004-02-04,2016-09-13,20160913,1,완료공사,101,도로,충북단양군단양읍별곡리~충북단양군가곡면사평리
402,3068301763,C2003047,C2003047,단양IC-단양 도로건설공사,D,대전청,059,국도 59호선(광양 ~ 하동),충청북도 단양군,A,일반국도,00,2003-05-17,2006-11-19,20061119,1,완료공사,101,도로,충북 단양군 대강면 장림리~충북 단양군 대강면 당동리
403,3068301763,C2009063,C2009077,단양IC-대강 도로건설공사,D,대전청,005,국도 5호선(마산 ~ 중강진(김화)),충청북도 단양군,A,일반국도,00,2009-05-18,2017-11-09,20171109,1,완료공사,101,도로,충북 단양군 단성면 북하리~충북 단양군 단양읍 상진리
404,3068301763,C2017045,C2017039,단양~영월 도로건설공사,D,대전청,059,국도 59호선(광양 ~ 하동),충청북도 단양군,A,일반국도,01,2017-08-21,2024-07-14,20240714,0,진행공사,101,도로,충북 단양군 영춘면 사지원리~강원도 영월군 남면 연당리
405,2248301909,C2013933,C2013934,달천 단월지구 하천환경정비사업,W,원주청,Z1,기타,충청북도 충주시,Z1,기타,미등록,2013-03-12,2019-10-31,20190412,1,완료공사,102,하천,충주시 살미면~충주시 단월동
406,3068301763,C2003060,C2003060,달천 문주제 개수공사,D,대전청,A1,한강,충청북도 충주시,A1,한강,03,2003-05-15,2006-05-14,20060514,1,완료공사,102,하천,문주1제~문주4제
407,3068301763,C2004014,C2004014,달천 용관제 하천환경정비사업,D,대전청,Z1,기타,충청북도 충주시,A1,한강,03,2004-05-03,2006-02-10,20060210,1,완료공사,102,하천,~
408,4038301161,C2018010,C2018014,담양-곡성 도로시설개량공사,I,익산청,013,국도 13호선(완도 ~ 금산),전라남도 곡성군,A,일반국도,01,2018-03-26,2022-02-28,20210309,1,완료공사,101,도로,전라남도 담양군 무정면 오례리 720-9~전라남도 곡성군 오산로 966
409,4038301161,C2009048,C2009064,담양-순창 도로확장공사,I,익산청,024,국도 24호선(신안 ~ 울산),전라남도 담양군,A,일반국도,01,2009-03-26,2018-12-15,20181115,1,완료공사,101,도로,전남담양군담양읍남산리~전북순창군순창읍백산리
410,6048300784,C2015001,C2014048,대구국가산업단지 진입도로 건설공사,B,부산청,002,국도 2호선(목포 ~ 부산),대구광역시 달성군,C,산업지원국도,01,2014-12-03,2018-11-16,20181205,1,완료공사,101,도로,대구 달성군 구지면 대구국가산업단지~달성군 현풍면 현풍IC
411,4038301161,C2016015,C2016014,대덕-용산 국도시설 개량공사,I,익산청,023,국도 23호선(강진 ~ 천안),전라남도 장흥군,A,일반국도,01,2016-03-21,2022-10-06,20210222,0,진행공사,101,도로,전남 장흥군 관산읍 외동리~전남 장흥군 용산면 녹원리
