rn,odofbrn,sptno,cno,cwknm,orcd,ornm,rutcd,rutnm,pdznnm,bzkdcd,bzkdnm,bztocd,stwrdt,ccwdt,ccwxpcdt,ccwyn,ccwynnm,bzarcd,bzarnm,cwksctnnm
790,6048300784,C2003130,C2003130,양천-월곡,B,부산청,999,기타,경상북도 김천시,F,기타,미등록,2004-11-08,2009-11-07,20091107,1,완료공사,101,도로,"경상북도 김천시 양천동~경북 김천시 부항면 월곡리
"
791,2248301909,C1998012,C1998012,어론-남전 도로확장 및 포장공사,W,원주청,,,강원도 인제군,A,일반국도,01,1998-02-10,2006-12-31,20061231,1,완료공사,102,하천,강원도 홍천군 두촌면 장남리~강원도 인제군 남면 남전리
792,6048300784,C2005027,C2005041,어모-상주 국도건설공사,B,부산청,003,국도 3호선(남해 ~ 초산 (철원)),경상북도 상주시,A,일반국도,00,2005-02-25,2013-12-31,20131231,1,완료공사,101,도로,경상북도 상주시 공성면 거창리~경상북도 상주시 가장동
793,2248301909,C2005094,C2005097,어천제 축제공사,W,원주청,Z1,기타,강원도 정선군,A1,한강,03,2005-12-08,2011-12-26,20111226,1,완료공사,102,하천,정선군 .읍 신월리~정선군.화암면. 석곡리
794,4038301161,C2021019,C2021017,여수 화태-백야(1공구) 도로건설공사,I,익산청,077,국도 77호선(부산 ~ 인천),전라남도 여수시,A,일반국도,01,2021-04-30,2027-03-29,20270329,0,진행공사,101,도로,"전라남도 여수시 남면 묘두길 7-19, 전라남도 여수시 남면 화태리 426(도)~전라남도 여수시 화정면 개도중앙2로 152, 전라남도 여수시 화정면 개도리 160-7(전)"
795,4038301161,C2021016,C2021018,여수 화태-백야(2공구) 도로건설공사,I,익산청,077,국도 77호선(부산 ~ 인천),,A,일반국도,01,,,,0,진행공사,101,도로,~
796,4038301161,C2005065,C2005069,여수-순천(1공구) 도로건설공사,I,익산청,017,국도 17호선(여천 ~ 용인),전라남도 여수시,A,일반국도,00,2005-12-20,2013-12-21,20131221,1,완료공사,101,도로,여수시 소라면 덕양리~여수시 소라면 취적리
797,4038301161,C2005036,C2005044,여수시관내 국도대체우회도로(우두-종화)건설공사,I,익산청,017,국도 17호선(여천 ~ 용인),전라남도 여수시,A,일반국도,00,2005-08-12,2012-06-11,20120611,1,완료공사,101,도로,전남 여수시 돌산읍 우두리~전남 여수시 종화동
798,1108300348,C2008023,C2008025,여주-양평 도로건설공사,S,서울청,037,국도 37호선(거창 ~ 파주),경기도 양평군,A,일반국도,00,2009-02-09,2015-11-10,20141228,1,완료공사,101,도로,양평군 개군면 불곡리~양평군 양평읍 백안리
799,1108300348,C2005038,C2005008,여주IC-장호원 1공구,S,서울청,037,국도 37호선(거창 ~ 파주),경기도 여주시,A,일반국도,00,2005-09-22,2015-12-31,20151231,1,완료공사,101,도로,경기도 여주시 점봉동~경기도 여주시 점동면 덕평리
