sptno,sptto,year,totamt,otsramt,gsumtrlct,stlct,cntrdt,stwrdt,ccwdt,gongi
C2015003,7,2020년,11100000000,6999559900,3999440100,101000000,2020-01-07,2020-01-13,2020-12-08,329.0
C2015003,6,2019년,11748000000,6447779490,4518220510,782000000,2019-01-17,2019-01-18,2019-12-19,334.0
C2015003,5,2019년,12250000000,5993448150,2070551850,4186000000,2018-01-09,2018-01-10,2019-01-04,358.0
C2015003,4,2018년,9038000000,6665783060,1306216940,1066000000,2017-01-16,2017-01-18,2017-12-30,345.0
C2015003,3,2017년,6777000000,3721606000,782394000,2273000000,2016-01-18,2016-01-18,2016-12-23,339.0
C2015003,2,2016년,3460000000,1518119110,641880890,1300000000,2015-05-07,2015-05-11,2016-02-04,268.0
C2015003,1,2015년,100000000,100000000,0,0,2014-12-29,2015-01-05,2015-03-05,58.0
C2015003,0,전체,54473000000,31446295710,13318704290,9708000000,2014-12-29,2015-01-05,2020-12-08,2163.0
C2002070,4,2005년,1770000000,1665000000,105000000,0,2005-01-28,2005-02-03,,329.0
C2002070,3,2004년,2961000000,2961000000,0,0,2004-02-18,2004-02-25,,309.0
C2002070,2,2003년,3200000000,3200000000,0,0,2003-02-18,2003-02-25,,308.0
C2002070,1,2002년,800000000,800000000,0,0,2002-04-02,2002-04-08,,266.0
C2002070,0,전체,8731000000,8626000000,105000000,0,,2002-04-08,2006-02-23,1416.0
C1996005,6,2005년,30538000000,30538000000,0,0,2001-02-21,2001-02-22,,1763.0
C1996005,5,2003년,6000000000,6000000000,0,0,2000-02-23,2000-02-23,2000-12-23,303.0
C1996005,4,2002년,7200000000,7200000000,0,0,1999-01-30,1999-02-04,1999-12-31,329.0
C1996005,3,2001년,4400000000,4400000000,0,0,1998-03-12,1998-03-16,1998-12-31,289.0
C1996005,2,2000년,1000000000,1000000000,0,0,1997-03-28,1997-03-31,1997-12-31,274.0
C1996005,1,2000년,60000000,60000000,0,0,1996-08-23,1996-08-26,1996-12-31,126.0
C1996005,0,전체,49198000000,49198000000,0,0,1996-08-23,1996-08-26,2005-12-22,3404.0
T2002001,5,2012년,230502660000,227971660000,0,2531000000,2006-02-17,2006-02-17,2012-04-30,2263.0
T2002001,4,2005년,16231000000,15836000000,0,395000000,2005-01-27,2005-01-28,2005-12-30,335.0
T2002001,3,2004년,13636000000,11886000000,0,1750000000,2004-02-09,2004-02-10,2004-12-30,323.0
T2002001,2,2003년,13355000000,10800000000,0,2555000000,2003-02-12,2003-02-17,2003-12-14,299.0
T2002001,1,2003년,50000000,50000000,0,0,2002-12-26,2002-12-30,2003-05-03,123.0
T2002001,0,전체,268514516000,261283516000,0,7231000000,2002-12-26,2002-12-30,2012-04-30,3408.0
