ofccd,ofcnm,rutcd,rutnm,fctkdcd,fctkdnm,fctcfcd,fctcfnm,fcno,fctnm,sectnm,lctnm,ccwdt,cstcmpnm,cwknm
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,87F8A689B9634598A897816A58DB6A0C,하도교,논산~논산,충청남도 논산시 노성면 읍내리,1999-12-01,대원실업㈜,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,320C7435393D4691B76EEC16141BC601,신충교,논산~논산,충청남도 논산시 상월면 신충리,1999-12-01,대원실업㈜,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,7995C206F01C4d29A4316D59E94B91E4,월오교,논산~논산,충청남도 논산시 상월면 월오리,1999-12-01,현대건설주식회사,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,3,3종,932F1B8C110E4c9bB532682B8200DEC6,계룡교,공주~공주,충청남도 공주시 계룡면 유평리,1999-12-01,현대건설주식회사,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,E11A35BC7A224514A2DDDA381D16B21F,상월교,논산~논산,충청남도 논산시 상월면 산성리,1999-12-01,대원실업㈜,
53,포항국토관리사무소,53020,일반국도20호선,1,교량,0,기타,E673B6426B1E1C52E034080020A9316A,천포1교,건천~안강,경상북도 경주시 건천읍 천포리,1999-12-01,(주)유성건설,건천서부우회도로 축조공사
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,D5E87313B6294eed87085C843C8532BC,기산2교,공주~공주,충청남도 공주시 계룡면 기산리,1999-12-01,한양,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,3,3종,EA3053F353C34fb4BDB3BB2F5386B2E0,혹실교,공주~공주,충청남도 공주시 계룡면 상성리,1999-12-01,현대건주주식회사,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,E57E03FE481F41e68967D2CE8E5FC8A3,월곡1교,논산~논산,충청남도 논산시 상월면 월오리,1999-12-01,현대건설(주),
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,42384D170B434e93B2B003705D2CC074,천동교,논산~논산,충청남도 논산시 광석면 천동리,1999-12-01,삼성물산주식회사,
31,논산국토관리사무소,31023,일반국도23호선,1,교량,0,기타,540C2E59D5B94ca68A6BB047A205629C,왕전2교,논산~논산,충청남도 논산시 광석면 왕전리,1999-12-01,삼성물산주식회사,
